Axes,Series,Index,X,Y,Z
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,1,0,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,2,1,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,3,2,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,4,3,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,5,4,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,6,5,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,7,6,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,8,7,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,9,8,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,10,9,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,11,10,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,12,11,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,13,12,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,14,13,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,15,14,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,16,15,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,17,16,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,18,17,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,19,18,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,20,19,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,21,20,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,22,21,25,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,23,22,25.39577906,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,24,23,25.79156364,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,25,24,26.1873537,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,26,25,26.58314921,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,27,26,26.97895015,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,28,27,27.37475649,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,29,28,27.7705682,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,30,29,28.16638525,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,31,30,28.56220761,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,32,31,28.95803526,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,33,32,29.35386816,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,34,33,29.74970629,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,35,34,30.14554963,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,36,35,30.54139814,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,37,36,30.93725179,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,38,37,31.33311057,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,39,38,31.72897444,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,40,39,32.12484337,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,41,40,32.52071735,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,42,41,32.91659634,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,43,42,33.31248031,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,44,43,33.70836925,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,45,44,34.09799747,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,46,45,34.48136479,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,47,46,34.858471,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,48,47,35.2293159,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,49,48,35.5938993,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,50,49,35.95222099,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,51,50,36.30428079,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,52,51,36.6500785,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,53,52,36.98961393,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,54,53,37.32288688,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,55,54,37.64989716,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,56,55,37.97064459,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,57,56,38.28512897,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,58,57,38.59335011,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,59,58,38.89530783,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,60,59,39.19100194,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,61,60,39.48043226,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,62,61,39.7635986,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,63,62,40.04050078,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,64,63,40.31113862,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,65,64,40.57551193,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,66,65,40.83362053,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,67,66,41.08556345,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,68,67,41.33143968,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,69,68,41.57134827,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,70,69,41.80538823,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,71,70,42.0336586,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,72,71,42.25625842,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,73,72,42.47328673,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,74,73,42.68484258,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,75,74,42.89102501,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,76,75,43.0919331,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,77,76,43.2876659,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,78,77,43.47832248,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,79,78,43.66400191,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,80,79,43.84480327,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,81,80,44.02082564,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,82,81,44.1921681,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,83,82,44.35892976,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,84,83,44.52120969,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,85,84,44.67910701,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,86,85,44.83272082,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,87,86,44.98215023,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,88,87,45.12749435,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,89,88,45.26885074,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,90,89,45.40631537,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,91,90,45.53998266,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,92,91,45.66994546,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,93,92,45.79629506,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,94,93,45.91912118,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,95,94,46.03851195,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,96,95,46.15455399,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,97,96,46.26733229,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,98,97,46.37693031,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,99,98,46.48342993,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,100,99,46.58691148,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,101,100,46.68745371,
ArranqueDesde25_0_CHasta50_0_C,Saturación con AW,102,101,46.78513379,
