Axes,Series,Index,X,Y,Z
axes1,line1,1,0,0,
axes1,line1,2,12,0,
axes1,line1,3,24,0.01474553352,
axes1,line1,4,36,0.07144532012,
axes1,line1,5,48,0.1246622545,
axes1,line1,6,60,0.174610275,
axes1,line1,7,72,0.2214901785,
axes1,line1,8,84,0.2654904279,
axes1,line1,9,96,0.3067879093,
axes1,line1,10,108,0.3455486435,
axes1,line1,11,120,0.3819284532,
axes1,line1,12,132,0.4160735896,
axes1,line1,13,144,0.4481213201,
axes1,line1,14,156,0.4782004804,
axes1,line1,15,168,0.5064319923,
axes1,line1,16,180,0.5329293498,
axes1,line1,17,192,0.5577990754,
axes1,line1,18,204,0.5811411483,
axes1,line1,19,216,0.6030494065,
axes1,line1,20,228,0.6236119237,
axes1,line1,21,240,0.6429113637,
axes1,line1,22,252,0.6610253125,
axes1,line1,23,264,0.6780265903,
axes1,line1,24,276,0.6939835443,
axes1,line1,25,288,0.7089603233,
axes1,line1,26,300,0.7230171357,
axes1,line1,27,312,0.7362104916,
axes1,line1,28,324,0.7485934298,
axes1,line1,29,336,0.7602157312,
axes1,line1,30,348,0.7711241188,
axes1,line1,31,360,0.7813624457,
axes1,line1,32,372,0.7909718711,
axes1,line1,33,384,0.7999910261,
axes1,line1,34,396,0.8084561686,
axes1,line1,35,408,0.8164013297,
axes1,line1,36,420,0.8238584497,
axes1,line1,37,432,0.8308575072,
axes1,line1,38,444,0.8374266392,
axes1,line1,39,456,0.8435922544,
axes1,line1,40,468,0.8493791394,
axes1,line1,41,480,0.854810558,
axes1,line1,42,492,0.8599083452,
axes1,line1,43,504,0.8646929947,
axes1,line1,44,516,0.8691837414,
axes1,line1,45,528,0.8733986386,
axes1,line1,46,540,0.8773546307,
axes1,line1,47,552,0.8810676213,
axes1,line1,48,564,0.884552537,
axes1,line1,49,576,0.8878233875,
axes1,line1,50,588,0.8908933222,
axes1,line1,51,600,0.8937746824,
axes1,line1,52,612,0.8964790517,
axes1,line1,53,624,0.8990173018,
axes1,line1,54,636,0.9013996369,
axes1,line1,55,648,0.9036356342,
axes1,line1,56,660,0.9057342826,
axes1,line1,57,672,0.9077040191,
axes1,line1,58,684,0.9095527622,
axes1,line1,59,696,0.911287944,
axes1,line1,60,708,0.9129165402,
axes1,line1,61,720,0.9144450979,
axes1,line1,62,732,0.9158797622,
axes1,line1,63,744,0.9172263004,
axes1,line1,64,756,0.918490126,
axes1,line1,65,768,0.9196763195,
axes1,line1,66,780,0.9207896497,
axes1,line1,67,792,0.9218345922,
axes1,line1,68,804,0.9228153479,
axes1,line1,69,816,0.9237358596,
axes1,line1,70,828,0.9245998276,
axes1,line1,71,840,0.9254107254,
axes1,line1,72,852,0.9261718129,
axes1,line1,73,864,0.9268861496,
axes1,line1,74,876,0.9275566074,
axes1,line1,75,888,0.9281858814,
axes1,line1,76,900,0.9287765016,
axes1,line1,77,912,0.9293308422,
axes1,line1,78,924,0.9298511318,
axes1,line1,79,936,0.930339462,
axes1,line1,80,948,0.9307977959,
axes1,line1,81,960,0.9312279761,
axes1,line1,82,972,0.9316317319,
axes1,line1,83,984,0.9320106866,
axes1,line1,84,996,0.9323663635,
axes1,line1,85,1008,0.9327001926,
axes1,line1,86,1020,0.9330135158,
axes1,line1,87,1032,0.9333075927,
axes1,line1,88,1044,0.9335836056,
axes1,line1,89,1056,0.9338426641,
axes1,line1,90,1068,0.9340858097,
axes1,line1,91,1080,0.9343140197,
axes1,line1,92,1092,0.9345282116,
axes1,line1,93,1104,0.9347292466,
axes1,line1,94,1116,0.9349179327,
axes1,line1,95,1128,0.9350950285,
axes1,line1,96,1140,0.9352612461,
axes1,line1,97,1152,0.9354172535,
axes1,line1,98,1164,0.935563678,
axes1,line1,99,1176,0.9357011082,
axes1,line1,100,1188,0.9358300965,
axes1,line1,101,1200,0.9359511616,
