Axes,Series,Index,X,Y,Z
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,1,0,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,2,2.5e-09,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,3,1.298385027e-05,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,4,2.596770054e-05,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,5,3.895155081e-05,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,6,5.193540108e-05,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,7,6.491925135e-05,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,8,7.790310161e-05,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,9,9.088695188e-05,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,10,9.99975e-05,0,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,11,0.0001000025,0.4533502087,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,12,0.0001038708022,0.4810120334,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,13,0.0001168546524,0.5747377567,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,14,0.0001298385027,0.6698186765,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,15,0.000142822353,0.766254612,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,16,0.0001558062032,0.8640453822,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,17,0.0001687900535,0.9631908065,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,18,0.0001817739038,1.063690704,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,19,0.000194757754,1.165544894,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,20,0.0001999975,1.207032547,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,21,0.0002000025,1.00154583,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,22,0.0002077416043,1.011407483,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,23,0.0002207254546,1.021057138,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,24,0.0002337093048,1.021845157,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,25,0.0002466931551,1.013515734,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,26,0.0002596770054,0.9958138381,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,27,0.0002726608557,0.9684820616,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,28,0.0002856447059,0.9312578273,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,29,0.0002986285562,0.8838783931,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,30,0.0002999975,0.8782804295,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,31,0.0003000025,0.971435212,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,32,0.0003116124065,0.9754563121,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,33,0.0003245962567,0.9826898078,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,34,0.000337580107,0.9937238633,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,35,0.0003505639573,1.009502933,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,36,0.0003635478075,1.030990232,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,37,0.0003765316578,1.059246876,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,38,0.0003895155081,1.095362546,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,39,0.0003999975,1.130996377,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,40,0.0004000025,1.088773751,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,41,0.0004024993583,1.091342267,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,42,0.0004154832086,1.103836237,
RespuestaDeLazoCerrado_Planta_ControladorPID,Tyreus-Luyben,43,0.0004284670589,1.114286684,
