Axes,Series,Index,X,Y,Z
axes1,line1,1,0,0,
axes1,line1,2,0.01151292546,0.0006354712914,
axes1,line1,3,0.02302585093,0.002438293263,
axes1,line1,4,0.03453877639,0.005264697977,
axes1,line1,5,0.04605170186,0.008985254955,
axes1,line1,6,0.05756462732,0.01348353552,
axes1,line1,7,0.06907755279,0.018654898,
axes1,line1,8,0.08059047825,0.02440538294,
axes1,line1,9,0.09210340372,0.03065070858,
axes1,line1,10,0.1036163292,0.03731535763,
axes1,line1,11,0.1151292546,0.04433174709,
axes1,line1,12,0.1266421801,0.0516394738,
axes1,line1,13,0.1381551056,0.05918462891,
axes1,line1,14,0.149668031,0.06691917498,
axes1,line1,15,0.1611809565,0.07480038031,
axes1,line1,16,0.172693882,0.0827903051,
axes1,line1,17,0.1842068074,0.09085533504,
axes1,line1,18,0.1957197329,0.09896575786,
axes1,line1,19,0.2072326584,0.1070953791,
axes1,line1,20,0.2187455838,0.1152211733,
axes1,line1,21,0.2302585093,0.1233229682,
axes1,line1,22,0.2417714348,0.1313831575,
axes1,line1,23,0.2532843602,0.1393864414,
axes1,line1,24,0.2647972857,0.1473195909,
axes1,line1,25,0.2763102112,0.1551712344,
axes1,line1,26,0.2878231366,0.1629316645,
axes1,line1,27,0.2993360621,0.1705926633,
axes1,line1,28,0.3108489876,0.178147344,
axes1,line1,29,0.322361913,0.1855900081,
axes1,line1,30,0.3338748385,0.1929160155,
axes1,line1,31,0.3453877639,0.2001216683,
axes1,line1,32,0.3569006894,0.2072041048,
axes1,line1,33,0.3684136149,0.2141612043,
axes1,line1,34,0.3799265403,0.2209915016,
axes1,line1,35,0.3914394658,0.2276941089,
axes1,line1,36,0.4029523913,0.2342686468,
axes1,line1,37,0.4144653167,0.2407151808,
axes1,line1,38,0.4259782422,0.2470341656,
axes1,line1,39,0.4374911677,0.2532263938,
axes1,line1,40,0.4490040931,0.2592929504,
axes1,line1,41,0.4605170186,0.2652351726,
axes1,line1,42,0.4720299441,0.2710546123,
axes1,line1,43,0.4835428695,0.2767530043,
axes1,line1,44,0.495055795,0.2823322363,
axes1,line1,45,0.5065687205,0.2877943233,
