Series,Index,X,Y,Z
stair1,1,0,0,
stair1,2,1.002502,0,
stair1,3,1.997598,0,
stair1,4,3.000356,0,
stair1,5,3.999369,0,
stair1,6,4.997977,0,
stair1,7,5.996941,0,
stair1,8,7.015684,0,
stair1,9,8.015084,0,
stair1,10,9.01259,0,
stair1,11,10.003242,0,
stair1,12,11.005764,0,
stair1,13,11.996636,0,
stair1,14,12.995765,0,
stair1,15,14.003302,0,
stair1,16,15.001002,0,
stair1,17,16.004881,0,
stair1,18,16.998181,0,
stair1,19,18.001679,0,
stair1,20,18.999189,0,
stair1,21,19.997962,0,
stair1,22,20.996822,0,
stair1,23,22.009514,0,
stair1,24,22.999742,0,
stair1,25,24.006292,0,
stair1,26,25.007986,0,
stair1,27,26.003375,0,
stair1,28,26.999845,0,
stair1,29,28.000336,0,
stair1,30,28.997086,0,
stair1,31,29.99556,0,
stair1,32,31.003255,0,
stair1,33,32.006297,0,
stair1,34,32.999986,0,
stair1,35,33.999794,0,
stair1,36,35.004336,0,
stair1,37,36.012388,0,
stair1,38,37.011724,0,
stair1,39,37.996737,0,
stair1,40,39.001611,0,
stair1,41,39.998429,0,
stair1,42,41.012058,0,
stair1,43,42.004513,0,
stair1,44,42.997054,0,
stair1,45,44.008555,0,
stair1,46,45.010453,0,
stair1,47,45.995169,0,
stair1,48,46.999534,0,
stair1,49,47.999007,0,
stair1,50,48.999642,0,
stair1,51,49.997228,0,
stair1,52,50.996746,0,
stair1,53,52.005415,0,
stair1,54,52.998707,0,
stair1,55,53.997648,0,
stair1,56,55.003587,0,
stair1,57,56.002493,0,
stair1,58,56.999769,0,
stair1,59,57.997744,0,
stair1,60,59.009144,0,
stair1,61,60.00041,0,
stair1,62,60.999175,0,
stair1,63,62.001622,0,
stair1,64,63.003096,0,
stair1,65,64.011997,0,
stair1,66,65.027597,0,
stair1,67,66.012459,0,
stair1,68,67.009142,0,
stair1,69,67.998714,0,
stair1,70,68.997937,0,
stair1,71,70.002124,0,
stair1,72,70.99622,0,
stair1,73,72.011467,0,
stair1,74,72.998039,0,
stair1,75,73.996533,0,
stair1,76,74.995787,0,
stair1,77,75.99778,0,
stair1,78,76.99583,0,
stair1,79,77.997496,0,
stair1,80,78.998578,0,
stair1,81,80.00389,0,
stair1,82,81.002052,0,
stair1,83,82.002978,0,
stair1,84,82.995893,0,
stair1,85,84.002408,0,
stair1,86,84.997803,0,
stair1,87,85.995801,0,
stair1,88,86.99994,0,
stair1,89,88.004883,0,
stair1,90,88.997629,0,
stair1,91,90.004497,0,
stair1,92,90.995723,0,
stair1,93,91.998134,0,
stair1,94,93.002685,0,
stair1,95,93.996337,0,
stair1,96,95.004509,0,
stair1,97,95.998488,0,
stair1,98,97.003103,0,
stair1,99,98.000146,0,
stair1,100,99.000888,0,
stair1,101,100.001852,0,
stair1,102,100.998751,0,
stair1,103,101.995527,0,
stair1,104,103.003587,0,
stair1,105,104.000607,0,
stair1,106,104.999005,0,
stair1,107,106.002483,0,
stair1,108,106.996652,0,
stair1,109,107.997908,0,
stair1,110,109.001344,0,
stair1,111,109.997102,0,
stair1,112,111.003076,0,
stair1,113,112.001209,0,
stair1,114,112.997564,0,
stair1,115,114.003917,0,
stair1,116,114.999699,0,
stair1,117,115.996901,0,
stair1,118,117.00294,0,
stair1,119,117.998076,0,
stair1,120,118.998085,0,
stair1,121,120.008027,20,
stair1,122,121.007084,20,
stair1,123,121.996215,20,
stair1,124,122.997774,20,
stair1,125,124.00597,20,
stair1,126,124.99751,20,
stair1,127,125.998262,20,
stair1,128,127.006633,20,
stair1,129,127.995398,20,
stair1,130,129.0005,20,
stair1,131,129.995499,20,
stair1,132,131.001549,20,
stair1,133,131.999564,20,
stair1,134,133.002483,20,
stair1,135,134.003728,20,
stair1,136,134.997791,20,
stair1,137,135.997752,20,
stair1,138,136.997434,20,
stair1,139,138.00131,20,
stair1,140,138.996604,20,
stair1,141,140.002546,20,
stair1,142,140.997047,20,
stair1,143,141.999542,20,
stair1,144,142.998968,20,
stair1,145,144.002572,20,
stair1,146,145.003773,20,
stair1,147,145.997835,20,
stair1,148,147.001742,20,
stair1,149,147.999571,20,
stair1,150,149.001891,20,
stair1,151,149.997917,20,
stair1,152,150.996614,20,
stair1,153,152.003902,20,
stair1,154,152.999107,20,
stair1,155,154.005086,20,
stair1,156,155.002377,20,
stair1,157,156.00036,20,
stair1,158,157.001537,20,
stair1,159,158.003712,20,
stair1,160,159.001441,20,
stair1,161,160.003653,20,
stair1,162,161.00104,20,
stair1,163,162.001993,20,
stair1,164,163.008314,20,
stair1,165,164.004446,20,
stair1,166,165.003282,20,
stair1,167,166.002176,20,
stair1,168,167.00284,20,
stair1,169,168.004537,20,
stair1,170,169.001778,20,
stair1,171,170.001688,20,
stair1,172,171.002948,20,
stair1,173,172.001284,20,
stair1,174,173.001751,20,
stair1,175,174.001295,20,
stair1,176,175.002326,20,
stair1,177,176.00239,20,
stair1,178,177.001105,20,
stair1,179,178.001818,20,
stair1,180,179.001257,20,
stair1,181,180.001665,20,
stair1,182,181.003773,20,
stair1,183,182.000953,20,
stair1,184,182.99932,20,
stair1,185,184.002121,20,
stair1,186,185.000122,20,
stair1,187,186.00025,20,
stair1,188,187.001548,20,
stair1,189,188.001022,20,
stair1,190,189.001109,20,
stair1,191,190.003939,20,
stair1,192,191.003012,20,
stair1,193,192.002262,20,
stair1,194,193.000347,20,
stair1,195,194.007166,20,
stair1,196,195.007324,20,
stair1,197,196.003669,20,
stair1,198,197.002027,20,
stair1,199,198.000675,20,
stair1,200,199.002117,20,
stair1,201,200.001262,20,
stair1,202,201.002092,20,
stair1,203,202.002647,20,
stair1,204,203.003015,20,
stair1,205,204.001874,20,
stair1,206,205.003881,20,
stair1,207,206.007728,20,
stair1,208,207.00419,20,
stair1,209,208.005929,20,
stair1,210,209.00346,20,
stair1,211,210.002481,20,
stair1,212,211.006212,20,
stair1,213,212.001593,20,
stair1,214,213.007872,20,
stair1,215,214.015663,20,
stair1,216,215.00617,20,
stair1,217,216.010173,20,
stair1,218,217.007413,20,
stair1,219,218.007242,20,
stair1,220,218.99988,20,
stair1,221,220.001817,20,
stair1,222,221.004148,20,
stair1,223,222.00498,20,
stair1,224,223.01346,20,
stair1,225,224.004481,20,
stair1,226,224.999889,20,
stair1,227,226.002855,20,
stair1,228,227.002736,20,
stair1,229,228.000679,20,
stair1,230,229.002829,20,
stair1,231,230.013996,20,
stair1,232,231.000455,20,
stair1,233,232.00485,20,
stair1,234,233.002829,20,
stair1,235,234.001472,20,
stair1,236,235.005357,20,
stair1,237,236.006014,20,
stair1,238,237.00287,20,
stair1,239,237.999613,20,
stair1,240,239.001218,20,
stair1,241,240.002951,20,
stair1,242,241.000917,20,
stair1,243,242.000497,20,
stair1,244,242.999597,20,
stair1,245,244.005693,20,
stair1,246,245.003971,20,
stair1,247,246.004697,20,
stair1,248,247.004884,20,
stair1,249,248.016444,20,
stair1,250,249.00398,20,
stair1,251,250.001063,20,
stair1,252,251.001794,20,
stair1,253,252.007667,20,
stair1,254,253.001348,20,
stair1,255,254.009688,20,
stair1,256,255.002801,20,
stair1,257,256.004773,20,
stair1,258,257.002332,20,
stair1,259,258.001331,20,
stair1,260,259.001555,20,
stair1,261,260.002101,20,
stair1,262,261.001748,20,
stair1,263,262.002498,20,
stair1,264,263.000188,20,
stair1,265,264.001286,20,
stair1,266,265.001237,20,
stair1,267,266.003408,20,
stair1,268,267.005779,20,
stair1,269,268.002493,20,
stair1,270,268.999316,20,
stair1,271,270.001057,20,
stair1,272,271.002289,20,
stair1,273,272.001699,20,
stair1,274,273.001673,20,
stair1,275,274.001317,20,
stair1,276,275.001613,20,
stair1,277,276.00134,20,
stair1,278,277.001517,20,
stair1,279,278.001475,20,
stair1,280,279.00486,20,
stair1,281,280.001214,20,
stair1,282,281.003397,20,
stair1,283,282.001357,20,
stair1,284,283.000981,20,
stair1,285,284.001018,20,
stair1,286,285.002385,20,
stair1,287,286.002669,20,
stair1,288,287.001551,20,
stair1,289,288.001545,20,
stair1,290,289.00241,20,
stair1,291,290.00025,20,
stair1,292,291.003195,20,
stair1,293,292.000413,20,
stair1,294,293.006703,20,
stair1,295,294.001963,20,
stair1,296,295.003318,20,
stair1,297,296.001425,20,
stair1,298,297.001001,20,
stair1,299,298.00066,20,
stair1,300,299.001298,20,
stair1,301,300.000784,20,
stair1,302,301.000498,20,
stair1,303,302.002141,20,
stair1,304,303.004231,20,
stair1,305,304.000114,20,
stair1,306,305.001431,20,
stair1,307,306.000721,20,
stair1,308,307.001577,20,
stair1,309,307.99907,20,
stair1,310,309.002101,20,
stair1,311,309.999998,20,
stair1,312,311.001937,20,
stair1,313,312.001317,20,
stair1,314,313.001817,20,
stair1,315,314.000677,20,
stair1,316,315.002047,20,
stair1,317,316.001134,20,
stair1,318,317.00188,20,
stair1,319,318.001807,20,
stair1,320,319.001378,20,
stair1,321,320.001949,20,
stair1,322,321.000929,20,
stair1,323,322.000153,20,
stair1,324,323.002622,20,
stair1,325,324.000722,20,
stair1,326,325.004701,20,
stair1,327,326.000731,20,
stair1,328,327.005116,20,
stair1,329,328.004783,20,
stair1,330,329.005695,20,
stair1,331,330.00326,20,
stair1,332,331.003042,20,
stair1,333,332.005852,20,
stair1,334,333.001715,20,
stair1,335,334.000167,20,
stair1,336,335.005505,20,
stair1,337,336.001376,20,
stair1,338,337.000702,20,
stair1,339,338.000525,20,
stair1,340,339.000646,20,
stair1,341,339.999656,20,
stair1,342,341.000968,20,
stair1,343,342.001671,20,
stair1,344,343.001572,20,
stair1,345,344.00162,20,
stair1,346,345.002704,20,
stair1,347,346.001296,20,
stair1,348,347.000752,20,
stair1,349,348.001802,20,
stair1,350,349.003262,20,
stair1,351,350.002393,20,
stair1,352,351.000866,20,
stair1,353,352.001384,20,
stair1,354,353.003835,20,
stair1,355,354.005195,20,
stair1,356,355.004872,20,
stair1,357,356.00016,20,
stair1,358,357.002628,20,
stair1,359,358.00109,20,
stair1,360,359.001292,20,
stair1,361,360.003864,20,
stair1,362,361.002101,20,
stair1,363,362.002086,20,
stair1,364,363.003973,20,
stair1,365,364.002406,20,
stair1,366,365.002388,20,
stair1,367,366.00058,20,
stair1,368,367.001619,20,
stair1,369,368.001448,20,
stair1,370,369.001539,20,
stair1,371,370.001914,20,
stair1,372,371.001542,20,
stair1,373,372.002663,20,
stair1,374,373.003985,20,
stair1,375,374.001745,20,
stair1,376,375.002096,20,
stair1,377,376.001447,20,
stair1,378,377.000799,20,
stair1,379,378.001104,20,
stair1,380,379.001328,20,
stair1,381,380.00446,20,
stair1,382,381.001085,20,
stair1,383,382.002501,20,
stair1,384,383.001355,20,
stair1,385,384.004989,20,
stair1,386,385.000235,20,
stair1,387,386.002756,20,
stair1,388,387.002211,20,
stair1,389,388.001506,20,
stair1,390,389.001848,20,
stair1,391,390.000824,20,
stair1,392,391.000879,20,
stair1,393,392.000737,20,
stair1,394,393.003989,20,
stair1,395,394.004439,20,
stair1,396,395.003573,20,
stair1,397,396.001797,20,
stair1,398,397.001172,20,
stair1,399,398.00119,20,
stair1,400,399.004906,20,
stair1,401,400.001542,20,
stair1,402,401.001302,20,
stair1,403,402.001706,20,
stair1,404,403.001163,20,
stair1,405,404.000503,20,
stair1,406,405.001242,20,
stair1,407,406.001577,20,
stair1,408,407.001841,20,
stair1,409,408.006019,20,
stair1,410,409.001535,20,
stair1,411,410.000585,20,
stair1,412,411.000184,20,
stair1,413,412.007275,20,
stair1,414,413.003496,20,
stair1,415,414.001319,20,
stair1,416,415.001346,20,
stair1,417,416.003185,20,
stair1,418,417.001812,20,
stair1,419,418.006288,20,
stair1,420,419.000627,20,
stair1,421,420.001099,20,
stair1,422,421.004531,20,
stair1,423,422.001171,20,
stair1,424,423.000379,20,
stair1,425,424.011883,20,
stair1,426,425.013244,20,
stair1,427,426.005106,20,
stair1,428,427.001956,20,
stair1,429,428.002459,20,
stair1,430,429.002432,20,
stair1,431,430.003399,20,
stair1,432,431.002581,20,
stair1,433,432.007309,20,
stair1,434,433.002949,20,
stair1,435,433.999808,20,
stair1,436,435.001508,20,
stair1,437,436.002988,20,
stair1,438,437.001057,20,
stair1,439,438.000652,20,
stair1,440,439.004682,20,
stair1,441,440.000578,20,
stair1,442,441.002674,20,
stair1,443,442.008982,20,
stair1,444,443.002437,20,
stair1,445,444.003436,20,
stair1,446,445.001096,20,
stair1,447,446.001523,20,
stair1,448,447.006522,20,
stair1,449,448.002268,20,
stair1,450,449.003599,20,
stair1,451,450.010139,20,
stair1,452,451.001311,20,
stair1,453,452.002361,20,
stair1,454,453.003239,20,
stair1,455,454.005327,20,
stair1,456,455.000385,20,
stair1,457,456.00151,20,
stair1,458,456.999925,20,
stair1,459,458.008152,20,
stair1,460,459.00088,20,
stair1,461,460.000179,20,
stair1,462,461.001278,20,
stair1,463,462.001354,20,
stair1,464,463.002187,20,
stair1,465,464.000867,20,
stair1,466,465.000471,20,
stair1,467,466.005366,20,
stair1,468,467.001026,20,
stair1,469,468.008456,20,
stair1,470,469.001656,20,
stair1,471,470.005121,20,
stair1,472,471.002944,20,
stair1,473,472.003729,20,
stair1,474,473.005969,20,
stair1,475,474.002423,20,
stair1,476,475.004835,20,
stair1,477,476.004522,20,
stair1,478,477.003435,20,
stair1,479,478.00431,20,
stair1,480,479.001864,20,
stair1,481,480.000207,20,
stair1,482,481.001902,20,
stair1,483,482.002481,20,
stair1,484,483.006637,20,
stair1,485,484.001989,20,
stair1,486,484.999565,20,
stair1,487,486.001714,20,
stair1,488,487.001104,20,
stair1,489,488.00175,20,
stair1,490,489.002439,20,
stair1,491,490.000753,20,
stair1,492,491.001164,20,
stair1,493,492.007443,20,
stair1,494,492.999518,20,
stair1,495,494.001051,20,
stair1,496,495.000737,20,
stair1,497,496.001486,20,
stair1,498,497.002763,20,
stair1,499,498.001725,20,
stair1,500,499.004868,20,
stair1,501,500.000076,20,
stair1,502,501.001754,20,
stair1,503,502.003369,20,
stair1,504,503.00073,20,
stair1,505,504.002405,20,
stair1,506,504.999407,20,
stair1,507,506.005556,20,
stair1,508,507.003092,20,
stair1,509,508.004433,20,
stair1,510,509.003677,20,
stair1,511,510.001275,20,
stair1,512,511.001299,20,
stair1,513,512.000518,20,
stair1,514,513.000777,20,
stair1,515,514.011152,20,
stair1,516,515.003723,20,
stair1,517,516.001573,20,
stair1,518,517.002294,20,
stair1,519,518.002569,20,
stair1,520,519.002402,20,
stair1,521,520.00183,20,
stair1,522,521.000371,20,
stair1,523,522.001033,20,
stair1,524,523.002311,20,
stair1,525,524.000976,20,
stair1,526,525.002821,20,
stair1,527,526.000587,20,
stair1,528,527.001286,20,
stair1,529,528.000179,20,
stair1,530,529.002624,20,
stair1,531,530.000692,20,
stair1,532,531.001416,20,
stair1,533,532.000134,20,
stair1,534,532.999385,20,
stair1,535,533.999679,20,
stair1,536,535.002476,20,
stair1,537,536.001413,20,
stair1,538,537.001356,20,
stair1,539,538.001118,20,
stair1,540,539.001718,20,
stair1,541,540.001185,20,
stair1,542,541.001168,20,
stair1,543,542.004079,20,
stair1,544,543.0051,20,
stair1,545,544.004717,20,
stair1,546,545.000378,20,
stair1,547,546.000229,20,
stair1,548,547.007076,20,
stair1,549,548.006031,20,
stair1,550,549.001957,20,
stair1,551,550.001952,20,
stair1,552,551.001469,20,
stair1,553,552.003137,20,
stair1,554,553.000567,20,
stair1,555,554.00116,20,
stair1,556,554.999647,20,
stair1,557,556.000429,20,
stair1,558,556.999313,20,
stair1,559,558.001211,20,
stair1,560,559.002067,20,
stair1,561,560.000028,20,
stair1,562,561.000448,20,
stair1,563,562.003084,20,
stair1,564,563.000997,20,
stair1,565,564.001444,20,
stair1,566,565.00017,20,
stair1,567,566.002189,20,
stair1,568,567.002617,20,
stair1,569,568.001839,20,
stair1,570,569.000526,20,
stair1,571,570.000622,20,
stair1,572,571.000788,20,
stair1,573,572.000718,20,
stair1,574,573.000885,20,
stair1,575,574.000427,20,
stair1,576,574.999393,20,
stair1,577,576.000085,20,
stair1,578,577.001642,20,
stair1,579,578.00158,20,
stair1,580,579.002585,20,
stair1,581,580.00258,20,
stair1,582,581.000399,20,
stair1,583,582.000641,20,
stair1,584,583.002164,20,
stair1,585,584.000528,20,
stair1,586,585.000531,20,
stair1,587,586.007299,20,
stair1,588,587.001243,20,
stair1,589,588.0341,20,
stair1,590,589.009168,20,
stair1,591,590.000518,20,
stair1,592,591.001542,20,
stair1,593,592.001956,20,
stair1,594,593.001584,20,
stair1,595,593.999733,20,
stair1,596,595.000236,20,
stair1,597,596.003988,20,
stair1,598,597.001806,20,
stair1,599,598.002468,20,
stair1,600,599.001356,20,
stair1,601,600.00759,20,
stair1,602,601.007056,20,
stair1,603,601.999988,20,
stair1,604,603.002089,20,
stair1,605,604.008699,20,
stair1,606,605.00361,20,
stair1,607,606.000029,20,
stair1,608,607.008723,20,
stair1,609,608.000058,20,
stair1,610,609.002023,20,
stair1,611,610.007898,20,
stair1,612,611.00179,20,
stair1,613,612.001992,20,
stair1,614,613.008182,20,
stair1,615,614.001417,20,
stair1,616,615.000215,20,
stair1,617,616.002338,20,
stair1,618,617.001053,20,
stair1,619,618.000719,20,
stair1,620,619.001123,20,
stair1,621,620.000356,40,
stair1,622,621.000027,40,
stair1,623,622.004932,40,
stair1,624,623.001528,40,
stair1,625,624.001013,40,
stair1,626,625.000998,40,
stair1,627,626.000882,40,
stair1,628,627.00138,40,
stair1,629,628.000981,40,
stair1,630,629.001174,40,
stair1,631,630.004835,40,
stair1,632,631.000059,40,
stair1,633,632.003223,40,
stair1,634,632.999039,40,
stair1,635,634.001232,40,
stair1,636,635.00429,40,
stair1,637,636.003919,40,
stair1,638,637.002528,40,
stair1,639,638.00241,40,
stair1,640,639.000057,40,
stair1,641,640.002072,40,
stair1,642,641.002764,40,
stair1,643,642.001478,40,
stair1,644,643.002631,40,
stair1,645,644.00144,40,
stair1,646,645.001088,40,
stair1,647,646.001688,40,
stair1,648,647.001276,40,
stair1,649,648.001119,40,
stair1,650,649.000913,40,
stair1,651,650.00236,40,
