Series,Index,X,Y,Z
FOPDT fijo,1,0,24.21554252,
FOPDT fijo,2,1.001296,24.21554252,
FOPDT fijo,3,2.005158,24.21554252,
FOPDT fijo,4,2.999459,24.21554252,
FOPDT fijo,5,4.00993,24.21554252,
FOPDT fijo,6,5.002513,24.21554252,
FOPDT fijo,7,6.005389,24.21554252,
FOPDT fijo,8,7.001298,24.21554252,
FOPDT fijo,9,8.00654,24.21554252,
FOPDT fijo,10,9.005583,24.21554252,
FOPDT fijo,11,10.002439,24.21554252,
FOPDT fijo,12,11.007384,24.21554252,
FOPDT fijo,13,11.999758,24.21554252,
FOPDT fijo,14,12.999187,24.21554252,
FOPDT fijo,15,14.004476,24.21554252,
FOPDT fijo,16,15.004055,24.21554252,
FOPDT fijo,17,16.000412,24.21554252,
FOPDT fijo,18,17.006322,24.21554252,
FOPDT fijo,19,18.005973,24.21554252,
FOPDT fijo,20,19.008673,24.21554252,
FOPDT fijo,21,20.000158,24.21554252,
FOPDT fijo,22,21.006348,24.21554252,
FOPDT fijo,23,22.001322,24.21554252,
FOPDT fijo,24,22.999286,24.21554252,
FOPDT fijo,25,24.002501,24.21554252,
FOPDT fijo,26,25.003157,24.21554252,
FOPDT fijo,27,26.003383,24.21554252,
FOPDT fijo,28,27.003548,24.21554252,
FOPDT fijo,29,28.005458,24.21554252,
FOPDT fijo,30,29.000912,24.21554252,
FOPDT fijo,31,30.004396,24.21554252,
FOPDT fijo,32,31.000919,24.21554252,
FOPDT fijo,33,32.013841,24.21554252,
FOPDT fijo,34,32.999469,24.21554252,
FOPDT fijo,35,34.0062,24.21554252,
FOPDT fijo,36,35.000019,24.21554252,
FOPDT fijo,37,36.000419,24.21554252,
FOPDT fijo,38,36.998286,24.21554252,
FOPDT fijo,39,38.006397,24.21554252,
FOPDT fijo,40,39.004803,24.21554252,
FOPDT fijo,41,40.006147,24.21554252,
FOPDT fijo,42,41.003576,24.21554252,
FOPDT fijo,43,42.028929,24.21554252,
FOPDT fijo,44,43.018371,24.21554252,
FOPDT fijo,45,44.000717,24.21554252,
FOPDT fijo,46,45.005083,24.21554252,
FOPDT fijo,47,45.999173,24.21554252,
FOPDT fijo,48,46.999703,24.21554252,
FOPDT fijo,49,47.998381,24.21554252,
FOPDT fijo,50,49.007073,24.21554252,
FOPDT fijo,51,50.001909,24.21554252,
FOPDT fijo,52,51.00604,24.21554252,
FOPDT fijo,53,51.999304,24.21554252,
FOPDT fijo,54,53.005546,24.21554252,
FOPDT fijo,55,53.999668,24.21554252,
FOPDT fijo,56,54.998528,24.21554252,
FOPDT fijo,57,55.999204,24.21554252,
FOPDT fijo,58,57.005233,24.21554252,
FOPDT fijo,59,57.999585,24.21554252,
FOPDT fijo,60,59.008595,24.21554252,
FOPDT fijo,61,60.001672,24.21554252,
FOPDT fijo,62,61.007038,24.21554252,
FOPDT fijo,63,61.99949,24.21554252,
FOPDT fijo,64,63.001784,24.21554252,
FOPDT fijo,65,64.00016,24.21554252,
FOPDT fijo,66,65.0003,24.21554252,
FOPDT fijo,67,66.003391,24.21554252,
FOPDT fijo,68,67.004391,24.21554252,
FOPDT fijo,69,67.998304,24.21554252,
FOPDT fijo,70,69.007023,24.21554252,
FOPDT fijo,71,70.004884,24.21554252,
FOPDT fijo,72,71.000934,24.21554252,
FOPDT fijo,73,72.005778,24.21554252,
FOPDT fijo,74,73.005728,24.21554252,
FOPDT fijo,75,74.006333,24.45002826,
FOPDT fijo,76,75.002009,24.68224579,
FOPDT fijo,77,76.003927,24.91480365,
FOPDT fijo,78,77.002719,25.14552751,
FOPDT fijo,79,78.013721,25.37795027,
FOPDT fijo,80,79.005801,25.60493124,
FOPDT fijo,81,80.013777,25.83444687,
FOPDT fijo,82,81.000179,26.05797964,
FOPDT fijo,83,82.00387,26.28434864,
FOPDT fijo,84,83.006508,26.50939597,
FOPDT fijo,85,84.002149,26.73180561,
FOPDT fijo,86,85.008636,26.95556236,
FOPDT fijo,87,86.000919,27.17510767,
FOPDT fijo,88,87.005587,27.39633242,
FOPDT fijo,89,88.005073,27.61536206,
FOPDT fijo,90,89.000858,27.83254016,
FOPDT fijo,91,90.004177,28.05031604,
FOPDT fijo,92,91.004216,28.2663408,
FOPDT fijo,93,92.00597,28.48170086,
FOPDT fijo,94,93.007437,28.69596858,
FOPDT fijo,95,94.004379,28.90824951,
FOPDT fijo,96,95.000812,29.11941135,
FOPDT fijo,97,96.005522,29.33130905,
FOPDT fijo,98,97.007501,29.5416174,
FOPDT fijo,99,97.998333,29.74859567,
FOPDT fijo,100,99.006494,29.95818784,
FOPDT fijo,101,100.007471,30.16528735,
FOPDT fijo,102,101.007881,30.37127962,
FOPDT fijo,103,102.01247,30.57714129,
FOPDT fijo,104,103.0137,30.78133116,
FOPDT fijo,105,103.999866,30.98149372,
FOPDT fijo,106,105.008049,31.18514982,
FOPDT fijo,107,106.005115,31.38559511,
FOPDT fijo,108,107.007611,31.586169,
FOPDT fijo,109,107.998568,31.78348974,
FOPDT fijo,110,109.007259,31.98338191,
FOPDT fijo,111,110.00443,32.18004395,
FOPDT fijo,112,111.006399,32.37670821,
FOPDT fijo,113,112.002522,32.57129145,
FOPDT fijo,114,113.00542,32.76626228,
FOPDT fijo,115,114.00634,32.95991679,
FOPDT fijo,116,115.00104,33.15145007,
FOPDT fijo,117,116.007431,33.34430783,
FOPDT fijo,118,117.0058,33.53471174,
FOPDT fijo,119,118.004991,33.72436276,
FOPDT fijo,120,119.006381,33.91352248,
FOPDT fijo,121,120.003186,34.10091699,
FOPDT fijo,122,121.000831,34.2875755,
